row_id,order_id ,created_at,quantity ,delivery ,item_id ,cust_id ,add_id ,rota_id,time_of_day,created_date,shift_id
1,ORD_00001,11:44:56,8,1,it002,251,251,r00001,Morning,2023-01-01,sh0013
2,ORD_00001,11:44:56,7,1,it017,251,251,r00001,Morning,2023-01-01,sh0013
3,ORD_00001,11:44:56,3,1,it006,251,251,r00001,Morning,2023-01-01,sh0013
4,ORD_00001,11:44:56,1,1,it006,251,251,r00001,Morning,2023-01-01,sh0013
5,ORD_00001,11:44:56,6,1,it010,251,251,r00001,Morning,2023-01-01,sh0013
6,ORD_00002,12:43:00,4,1,it023,75,75,r00001,Morning,2023-01-01,sh0013
7,ORD_00002,12:43:00,4,1,it029,75,75,r00001,Morning,2023-01-01,sh0013
8,ORD_00002,12:43:00,2,1,it009,75,75,r00001,Morning,2023-01-01,sh0013
9,ORD_00002,12:43:00,6,1,it030,75,75,r00001,Morning,2023-01-01,sh0013
10,ORD_00003,12:03:27,6,0,it033,128,128,r00001,Morning,2023-01-01,sh0013
11,ORD_00003,12:03:27,6,0,it037,128,128,r00001,Morning,2023-01-01,sh0013
12,ORD_00003,12:03:27,6,0,it004,128,128,r00001,Morning,2023-01-01,sh0013
13,ORD_00004,20:33:41,6,1,it022,116,116,r00001,Evening,2023-01-01,sh0014
14,ORD_00004,20:33:41,1,1,it028,116,116,r00001,Evening,2023-01-01,sh0014
15,ORD_00004,20:33:41,5,1,it029,116,116,r00001,Evening,2023-01-01,sh0014
16,ORD_00005,11:36:00,8,1,it036,61,61,r00001,Morning,2023-01-01,sh0013
17,ORD_00005,11:36:00,3,1,it001,61,61,r00001,Morning,2023-01-01,sh0013
18,ORD_00006,22:20:10,7,0,it019,61,61,r00001,Evening,2023-01-01,sh0014
19,ORD_00006,22:20:10,10,0,it020,61,61,r00001,Evening,2023-01-01,sh0014
20,ORD_00007,18:49:00,1,1,it025,292,292,r00001,Evening,2023-01-01,sh0014
21,ORD_00008,10:30:20,8,1,it012,127,127,r00001,Morning,2023-01-01,sh0013
22,ORD_00008,10:30:20,9,1,it024,127,127,r00001,Morning,2023-01-01,sh0013
23,ORD_00009,21:56:27,5,0,it021,40,40,r00001,Evening,2023-01-01,sh0014
24,ORD_00009,21:56:27,5,0,it010,40,40,r00001,Evening,2023-01-01,sh0014
