"Anchovies","28900","33000","4100"
"Banoffee pie","18960","21600","2640"
"Caesar dressing","3380","19000","15620"
"Calamari","51925","57500","5575"
"Capers","2300","3000","700"
"Chicken wings","12480","24000","11520"
"Chilli pepper","4690","6000","1310"
"Chocolate brownie","11400","12500","1100"
"Chocolate ice cream","17000","18000","1000"
"Coca Cola Diet 1.5l","160","197","37"
"Coca Cola Diet 33cl","187","225","38"
"Coca Cola Regular 1.5l","178","215","37"
"Coca Cola Regular 33cl","133","165","32"
"Croutons","8450","10000","1550"
"Dried oregano","2303","2500","197"
"Eggplant","40650","45000","4350"
"Fruit salad","24900","30000","5100"
"Garlic and parsley butter","2205","9000","6795"
"Gorgonzola cheese","48960","52500","3540"
"Ham","39550","45000","5450"
"Mozzarella cheese","479380","480000","620"
"Parmesan cheese","104760","110000","5240"
"Pepperoni","61360","65000","3640"
"Pineapple","31120","35000","3880"
"Pistachio ice cream","21200","22500","1300"
"Pizza dough ball (8 pack)","785500","800000","14500"
"Ricotta cheese","48960","55500","6540"
"Romain lettuce","16900","37500","20600"
"Rotisserie chicken pieces","20280","25000","4720"
"Shrimp","51925","57000","5075"
"Spicy salami","22510","24500","1990"
"Sprite Regular 1.5l","176","215","39"
"Sprite Regular 33cl","133","167","34"
"Strawberry ice cream","15500","18000","2500"
"Tomato sauce ","233120","247500","14380"
"Tuna","51925","58000","6075"
"Vanilla ice cream","15500","18000","2500"
