row_id,order_id ,cust_id ,created_at,item_id ,quantity ,delivery ,add_id ,rota_id,time_of_day,created_date
1,ORD_00001,251,11:44:56,it002,8,1,251,r00001,Morning,2023-01-01
2,ORD_00001,251,11:44:56,it017,7,1,251,r00001,Morning,2023-01-01
3,ORD_00001,251,11:44:56,it006,3,1,251,r00001,Morning,2023-01-01
4,ORD_00001,251,11:44:56,it006,1,1,251,r00001,Morning,2023-01-01
5,ORD_00001,251,11:44:56,it010,6,1,251,r00001,Morning,2023-01-01
6,ORD_00002,75,12:43:00,it023,4,1,75,r00001,Morning,2023-01-01
7,ORD_00002,75,12:43:00,it029,4,1,75,r00001,Morning,2023-01-01
8,ORD_00002,75,12:43:00,it009,2,1,75,r00001,Morning,2023-01-01
9,ORD_00002,75,12:43:00,it030,6,1,75,r00001,Morning,2023-01-01
10,ORD_00003,128,12:03:27,it033,6,0,128,r00001,Morning,2023-01-01
11,ORD_00003,128,12:03:27,it037,6,0,128,r00001,Morning,2023-01-01
12,ORD_00003,128,12:03:27,it004,6,0,128,r00001,Morning,2023-01-01
13,ORD_00004,116,20:33:41,it022,6,1,116,r00001,Evening,2023-01-01
14,ORD_00004,116,20:33:41,it028,1,1,116,r00001,Evening,2023-01-01
15,ORD_00004,116,20:33:41,it029,5,1,116,r00001,Evening,2023-01-01
16,ORD_00005,61,11:36:00,it036,8,1,61,r00001,Morning,2023-01-01
17,ORD_00005,61,11:36:00,it001,3,1,61,r00001,Morning,2023-01-01
18,ORD_00006,61,22:20:10,it019,7,0,61,r00001,Evening,2023-01-01
19,ORD_00006,61,22:20:10,it020,10,0,61,r00001,Evening,2023-01-01
20,ORD_00007,292,18:49:00,it025,1,1,292,r00001,Evening,2023-01-01
21,ORD_00008,127,10:30:20,it012,8,1,127,r00001,Morning,2023-01-01
22,ORD_00008,127,10:30:20,it024,9,1,127,r00001,Morning,2023-01-01
23,ORD_00009,40,21:56:27,it021,5,0,40,r00001,Evening,2023-01-01
24,ORD_00009,40,21:56:27,it010,5,0,40,r00001,Evening,2023-01-01
25,ORD_00010,77,22:32:33,it013,7,0,77,r00001,Evening,2023-01-01
26,ORD_00010,77,22:32:33,it007,3,0,77,r00001,Evening,2023-01-01
27,ORD_00010,77,22:32:33,it032,3,0,77,r00001,Evening,2023-01-01
28,ORD_00010,77,22:32:33,it001,9,0,77,r00001,Evening,2023-01-01
29,ORD_00010,77,22:32:33,it016,10,0,77,r00002,Evening,2023-01-02
30,ORD_00011,165,11:51:25,it036,10,1,165,r00002,Morning,2023-01-02
31,ORD_00011,165,11:51:25,it002,5,1,165,r00002,Morning,2023-01-02
